,mpl_hostname,mpl_letter,mst_metratio,mpl_discmethod,mpl_pnum,mpl_orbper,mpl_orbsmax,mpl_orbeccen,mpl_orbincl,mpl_massj,mpl_radj,mpl_dens,mpl_eqt,mpl_insol,mst_teff,mst_mass,mst_rad,mst_age,mst_lum,mpl_status
407,EPIC 246851721,b,[Fe/H],Transit,1,6.180235,0.07229,,86.21,3.0,1.051,3.1,1401.0,642.0,6202.0,1.317,1.59,3.02,0.526,3
408,K2-266,b,[Fe/H],Transit,4,0.658524,0.01306,,75.32,,0.294,1.77,1515.0,879.5,4285.0,0.686,0.7,,-0.823,3
409,KOI-3680,b,[Fe/H],Transit,1,141.241671,0.534,0.496,89.892,1.93,0.99,2.46,347.0,,5830.0,1.01,0.96,3.2,,3
410,HATS-59,b,[Fe/H],Transit,2,5.416081,0.06112,0.129,88.1,0.806,1.126,0.7,1128.0,269.0,5670.0,1.038,1.04,4.3,-0.004,3
411,HATS-59,c,[Fe/H],Radial Velocity,2,1422.0,2.504,0.083,,,,,176.0,0.159,5670.0,1.038,1.04,4.3,-0.004,3
412,GJ 3779,b,[Fe/H],Radial Velocity,1,3.0232,0.026,0.07,,,,,,,3324.0,0.27,0.28,,-2.062,3
413,GJ 1265,b,[Fe/H],Radial Velocity,1,3.6511,0.026,0.04,,,,,,,3236.0,0.178,0.19,,-2.439,3
414,LHS 1140,b,[Fe/H],Transit,2,24.736959,0.0936,0.06,89.89,0.02196,0.154,7.5,235.0,0.503,3216.0,0.179,0.21,5.0,-2.356,3
415,LHS 1140,c,[Fe/H],Transit,2,3.777931,0.02675,0.31,89.92,0.00569,0.114,4.7,438.0,6.16,3216.0,0.179,0.21,5.0,-2.356,3
416,CoRoT-21,b,[Fe/H],Transit,1,2.72474,0.0417,0.0,86.8,2.26,1.3,1.36,,,6200.0,1.29,1.95,4.1,,3
417,HD 10697,b,,Radial Velocity,1,1075.69,2.14,0.1043,,,,,,,5600.0,1.13,1.79,,,3
418,HD 38529,b,,Radial Velocity,2,14.30944,0.1294,0.28,,,,,,,5541.0,1.41,2.56,,,3
419,HD 38529,c,,Radial Velocity,2,2136.1,3.64,0.3407,,,,,,,5541.0,1.41,2.56,,,3
420,HD 114613,b,,Radial Velocity,1,4000.0,5.34,0.458,,,,,,,5641.0,1.27,2.14,,,3
421,70 Vir,b,,Radial Velocity,1,116.688,0.481,0.3988,,,,,,,5495.0,1.09,1.89,,,3
422,HD 159868,b,,Radial Velocity,2,1184.1,2.32,0.024,,,,,,,5534.0,1.19,2.13,,,3
423,K2-266,c,[Fe/H],Transit,4,7.814,0.0679,0.042,88.28,,0.063,4.51,665.0,32.4,4285.0,0.686,0.7,,-0.823,3
424,K2-266,d,[Fe/H],Transit,4,14.697,0.1035,0.047,89.46,0.028,0.261,2.03,538.0,13.95,4285.0,0.686,0.7,,-0.823,3
425,K2-266,e,[Fe/H],Transit,4,19.482,0.1249,0.043,89.45,0.04499,0.244,2.21,490.0,9.581,4285.0,0.686,0.7,,-0.823,3
426,K2-180,b,[Fe/H],Transit,1,8.867209,0.0753,,,,0.206,,731.0,,5358.0,0.72,0.72,,,3
